Snapshot_Date,Material_ID,Plant_ID,Stock_Status,Quantity,Unit_Cost_EUR,Inventory_Value_EUR
31/01/2026,CMP-1007,PLT-2000,Unrestricted,16,€ 135.00,€ 2 160.00
31/01/2026,CMP-1007,PLT-2000,Reserved,1,€ 135.00,€ 135.00
31/01/2026,CMP-1007,PLT-2000,In Transit,3,€ 135.00,€ 405.00
31/01/2026,CMP-1008,PLT-1000,Unrestricted,43,€ 160.00,€ 6 880.00
31/01/2026,CMP-1008,PLT-1000,Reserved,7,€ 160.00,€ 1 120.00
31/01/2026,CMP-1008,PLT-1000,In Transit,5,€ 160.00,€ 800.00
31/01/2026,CMP-1008,PLT-2000,Unrestricted,41,€ 160.00,€ 6 560.00
31/01/2026,CMP-1008,PLT-2000,Reserved,8,€ 160.00,€ 1 280.00
31/01/2026,CMP-1008,PLT-2000,In Transit,5,€ 160.00,€ 800.00
31/01/2026,CMP-1009,PLT-1000,Unrestricted,31,€ 95.00,€ 2 945.00
31/01/2026,CMP-1009,PLT-1000,Reserved,4,€ 95.00,€ 380.00
31/01/2026,CMP-1009,PLT-1000,In Transit,2,€ 95.00,€ 190.00
31/01/2026,CMP-1009,PLT-2000,Unrestricted,27,€ 95.00,€ 2 565.00
31/01/2026,CMP-1009,PLT-2000,Reserved,2,€ 95.00,€ 190.00
31/01/2026,CMP-1009,PLT-2000,In Transit,4,€ 95.00,€ 380.00
31/01/2026,CMP-1010,PLT-1000,Unrestricted,220,€ 18.00,€ 3 960.00
31/01/2026,CMP-1010,PLT-1000,Reserved,8,€ 18.00,€ 144.00
31/01/2026,CMP-1010,PLT-1000,In Transit,5,€ 18.00,€ 90.00
31/01/2026,CMP-1010,PLT-2000,Unrestricted,40,€ 18.00,€ 720.00
31/01/2026,CMP-1010,PLT-2000,Reserved,5,€ 18.00,€ 90.00
31/01/2026,CMP-1010,PLT-2000,In Transit,1,€ 18.00,€ 18.00
31/01/2026,CMP-1011,PLT-1000,Unrestricted,19,€ 145.00,€ 2 755.00
31/01/2026,CMP-1011,PLT-1000,Reserved,7,€ 145.00,€ 1 015.00
31/01/2026,CMP-1011,PLT-1000,In Transit,2,€ 145.00,€ 290.00
31/01/2026,CMP-1011,PLT-2000,Unrestricted,33,€ 145.00,€ 4 785.00
31/01/2026,CMP-1011,PLT-2000,Reserved,3,€ 145.00,€ 435.00
31/01/2026,CMP-1011,PLT-2000,In Transit,7,€ 145.00,€ 1 015.00
31/01/2026,CMP-1012,PLT-1000,Unrestricted,38,€ 310.00,€ 11 780.00
31/01/2026,CMP-1012,PLT-1000,Reserved,1,€ 310.00,€ 310.00
31/01/2026,CMP-1012,PLT-1000,In Transit,1,€ 310.00,€ 310.00
31/01/2026,CMP-1012,PLT-2000,Unrestricted,32,€ 310.00,€ 9 920.00
31/01/2026,CMP-1012,PLT-2000,Reserved,6,€ 310.00,€ 1 860.00
31/01/2026,CMP-1012,PLT-2000,In Transit,5,€ 310.00,€ 1 550.00
31/01/2026,CMP-1013,PLT-1000,Unrestricted,43,€ 28.00,€ 1 204.00
31/01/2026,CMP-1013,PLT-1000,Reserved,8,€ 28.00,€ 224.00
31/01/2026,CMP-1013,PLT-1000,In Transit,1,€ 28.00,€ 28.00
31/01/2026,CMP-1013,PLT-2000,Unrestricted,17,€ 28.00,€ 476.00
31/01/2026,CMP-1013,PLT-2000,Reserved,5,€ 28.00,€ 140.00
31/01/2026,CMP-1013,PLT-2000,In Transit,7,€ 28.00,€ 196.00
31/01/2026,CMP-1014,PLT-1000,Unrestricted,16,€ 290.00,€ 4 640.00
31/01/2026,CMP-1014,PLT-1000,Reserved,1,€ 290.00,€ 290.00
31/01/2026,CMP-1014,PLT-1000,In Transit,4,€ 290.00,€ 1 160.00
31/01/2026,CMP-1014,PLT-2000,Unrestricted,40,€ 290.00,€ 11 600.00
31/01/2026,CMP-1014,PLT-2000,Reserved,5,€ 290.00,€ 1 450.00
31/01/2026,CMP-1014,PLT-2000,In Transit,6,€ 290.00,€ 1 740.00
31/01/2026,CMP-1015,PLT-1000,Unrestricted,520,€ 4.50,€ 2 340.00
31/01/2026,CMP-1015,PLT-1000,Reserved,1,€ 4.50,€ 4.50
31/01/2026,CMP-1015,PLT-1000,In Transit,7,€ 4.50,€ 31.50
31/01/2026,CMP-1015,PLT-2000,Unrestricted,34,€ 4.50,€ 153.00
31/01/2026,CMP-1015,PLT-2000,Reserved,3,€ 4.50,€ 13.50
31/01/2026,CMP-1015,PLT-2000,In Transit,1,€ 4.50,€ 4.50
28/02/2026,CMP-1001,PLT-1000,Unrestricted,6,€ 640.00,€ 3 840.00
28/02/2026,CMP-1001,PLT-1000,Quality Inspection,14,€ 640.00,€ 8 960.00
28/02/2026,CMP-1001,PLT-1000,Reserved,5,€ 640.00,€ 3 200.00
28/02/2026,CMP-1001,PLT-1000,In Transit,3,€ 640.00,€ 1 920.00
28/02/2026,CMP-1001,PLT-2000,Unrestricted,35,€ 640.00,€ 22 400.00
28/02/2026,CMP-1001,PLT-2000,Reserved,3,€ 640.00,€ 1 920.00
28/02/2026,CMP-1001,PLT-2000,In Transit,3,€ 640.00,€ 1 920.00
28/02/2026,CMP-1002,PLT-1000,Unrestricted,16,€ 82.00,€ 1 312.00
28/02/2026,CMP-1002,PLT-1000,Quality Inspection,14,€ 82.00,€ 1 148.00
28/02/2026,CMP-1002,PLT-1000,Blocked,5,€ 82.00,€ 410.00
28/02/2026,CMP-1002,PLT-1000,Reserved,7,€ 82.00,€ 574.00
28/02/2026,CMP-1002,PLT-1000,In Transit,7,€ 82.00,€ 574.00
28/02/2026,CMP-1002,PLT-2000,Unrestricted,17,€ 82.00,€ 1 394.00
28/02/2026,CMP-1002,PLT-2000,Reserved,3,€ 82.00,€ 246.00
28/02/2026,CMP-1002,PLT-2000,In Transit,7,€ 82.00,€ 574.00
28/02/2026,CMP-1003,PLT-1000,Unrestricted,37,€ 46.00,€ 1 702.00
28/02/2026,CMP-1003,PLT-1000,Reserved,5,€ 46.00,€ 230.00
28/02/2026,CMP-1003,PLT-1000,In Transit,2,€ 46.00,€ 92.00
28/02/2026,CMP-1003,PLT-2000,Unrestricted,39,€ 46.00,€ 1 794.00
28/02/2026,CMP-1003,PLT-2000,Reserved,5,€ 46.00,€ 230.00
28/02/2026,CMP-1003,PLT-2000,In Transit,6,€ 46.00,€ 276.00
28/02/2026,CMP-1004,PLT-1000,Unrestricted,3,€ 420.00,€ 1 260.00
28/02/2026,CMP-1004,PLT-1000,Reserved,2,€ 420.00,€ 840.00
28/02/2026,CMP-1004,PLT-1000,In Transit,8,€ 420.00,€ 3 360.00
28/02/2026,CMP-1004,PLT-2000,Unrestricted,21,€ 420.00,€ 8 820.00
28/02/2026,CMP-1004,PLT-2000,Reserved,2,€ 420.00,€ 840.00
28/02/2026,CMP-1004,PLT-2000,In Transit,2,€ 420.00,€ 840.00
28/02/2026,CMP-1005,PLT-1000,Unrestricted,21,€ 175.00,€ 3 675.00
28/02/2026,CMP-1005,PLT-1000,Reserved,4,€ 175.00,€ 700.00
28/02/2026,CMP-1005,PLT-1000,In Transit,3,€ 175.00,€ 525.00
28/02/2026,CMP-1005,PLT-2000,Unrestricted,12,€ 175.00,€ 2 100.00
28/02/2026,CMP-1005,PLT-2000,Reserved,8,€ 175.00,€ 1 400.00
28/02/2026,CMP-1005,PLT-2000,In Transit,2,€ 175.00,€ 350.00
28/02/2026,CMP-1006,PLT-1000,Unrestricted,28,€ 220.00,€ 6 160.00
28/02/2026,CMP-1006,PLT-1000,Reserved,5,€ 220.00,€ 1 100.00
28/02/2026,CMP-1006,PLT-2000,Unrestricted,21,€ 220.00,€ 4 620.00
28/02/2026,CMP-1006,PLT-2000,Reserved,7,€ 220.00,€ 1 540.00
28/02/2026,CMP-1006,PLT-2000,In Transit,8,€ 220.00,€ 1 760.00
28/02/2026,CMP-1007,PLT-1000,Unrestricted,35,€ 135.00,€ 4 725.00
28/02/2026,CMP-1007,PLT-1000,Reserved,6,€ 135.00,€ 810.00
28/02/2026,CMP-1007,PLT-1000,In Transit,2,€ 135.00,€ 270.00
28/02/2026,CMP-1007,PLT-2000,Unrestricted,44,€ 135.00,€ 5 940.00
28/02/2026,CMP-1007,PLT-2000,Reserved,1,€ 135.00,€ 135.00
28/02/2026,CMP-1007,PLT-2000,In Transit,7,€ 135.00,€ 945.00
28/02/2026,CMP-1008,PLT-1000,Unrestricted,37,€ 160.00,€ 5 920.00
28/02/2026,CMP-1008,PLT-1000,Reserved,7,€ 160.00,€ 1 120.00
28/02/2026,CMP-1008,PLT-1000,In Transit,6,€ 160.00,€ 960.00
28/02/2026,CMP-1008,PLT-2000,Unrestricted,37,€ 160.00,€ 5 920.00
28/02/2026,CMP-1008,PLT-2000,Reserved,2,€ 160.00,€ 320.00
28/02/2026,CMP-1008,PLT-2000,In Transit,7,€ 160.00,€ 1 120.00
28/02/2026,CMP-1009,PLT-1000,Unrestricted,37,€ 95.00,€ 3 515.00
28/02/2026,CMP-1009,PLT-1000,Reserved,1,€ 95.00,€ 95.00
28/02/2026,CMP-1009,PLT-1000,In Transit,3,€ 95.00,€ 285.00
28/02/2026,CMP-1009,PLT-2000,Unrestricted,16,€ 95.00,€ 1 520.00
28/02/2026,CMP-1009,PLT-2000,Reserved,4,€ 95.00,€ 380.00
28/02/2026,CMP-1009,PLT-2000,In Transit,7,€ 95.00,€ 665.00
28/02/2026,CMP-1010,PLT-1000,Unrestricted,245,€ 18.00,€ 4 410.00
28/02/2026,CMP-1010,PLT-1000,Reserved,2,€ 18.00,€ 36.00
28/02/2026,CMP-1010,PLT-1000,In Transit,5,€ 18.00,€ 90.00
28/02/2026,CMP-1010,PLT-2000,Unrestricted,15,€ 18.00,€ 270.00
28/02/2026,CMP-1010,PLT-2000,Reserved,2,€ 18.00,€ 36.00
28/02/2026,CMP-1011,PLT-1000,Unrestricted,21,€ 145.00,€ 3 045.00
28/02/2026,CMP-1011,PLT-1000,Reserved,2,€ 145.00,€ 290.00
28/02/2026,CMP-1011,PLT-1000,In Transit,5,€ 145.00,€ 725.00
28/02/2026,CMP-1011,PLT-2000,Unrestricted,13,€ 145.00,€ 1 885.00
28/02/2026,CMP-1011,PLT-2000,Reserved,2,€ 145.00,€ 290.00
28/02/2026,CMP-1011,PLT-2000,In Transit,3,€ 145.00,€ 435.00
28/02/2026,CMP-1012,PLT-1000,Unrestricted,36,€ 310.00,€ 11 160.00
28/02/2026,CMP-1012,PLT-1000,Reserved,3,€ 310.00,€ 930.00
28/02/2026,CMP-1012,PLT-1000,In Transit,4,€ 310.00,€ 1 240.00
28/02/2026,CMP-1012,PLT-2000,Unrestricted,34,€ 310.00,€ 10 540.00
28/02/2026,CMP-1012,PLT-2000,Reserved,6,€ 310.00,€ 1 860.00
28/02/2026,CMP-1012,PLT-2000,In Transit,7,€ 310.00,€ 2 170.00
28/02/2026,CMP-1013,PLT-1000,Unrestricted,19,€ 28.00,€ 532.00
28/02/2026,CMP-1013,PLT-1000,Reserved,2,€ 28.00,€ 56.00
28/02/2026,CMP-1013,PLT-1000,In Transit,7,€ 28.00,€ 196.00
28/02/2026,CMP-1013,PLT-2000,Unrestricted,41,€ 28.00,€ 1 148.00
28/02/2026,CMP-1013,PLT-2000,Reserved,8,€ 28.00,€ 224.00
28/02/2026,CMP-1013,PLT-2000,In Transit,7,€ 28.00,€ 196.00
28/02/2026,CMP-1014,PLT-1000,Unrestricted,31,€ 290.00,€ 8 990.00
28/02/2026,CMP-1014,PLT-1000,Reserved,2,€ 290.00,€ 580.00
28/02/2026,CMP-1014,PLT-1000,In Transit,2,€ 290.00,€ 580.00
28/02/2026,CMP-1014,PLT-2000,Unrestricted,18,€ 290.00,€ 5 220.00
28/02/2026,CMP-1014,PLT-2000,Reserved,6,€ 290.00,€ 1 740.00
28/02/2026,CMP-1014,PLT-2000,In Transit,4,€ 290.00,€ 1 160.00
28/02/2026,CMP-1015,PLT-1000,Unrestricted,560,€ 4.50,€ 2 520.00
28/02/2026,CMP-1015,PLT-1000,Reserved,3,€ 4.50,€ 13.50
28/02/2026,CMP-1015,PLT-1000,In Transit,8,€ 4.50,€ 36.00
28/02/2026,CMP-1015,PLT-2000,Unrestricted,13,€ 4.50,€ 58.50
28/02/2026,CMP-1015,PLT-2000,Reserved,4,€ 4.50,€ 18.00
28/02/2026,CMP-1015,PLT-2000,In Transit,8,€ 4.50,€ 36.00
31/03/2026,CMP-1001,PLT-1000,Unrestricted,7,€ 640.00,€ 4 480.00
31/03/2026,CMP-1001,PLT-1000,Quality Inspection,11,€ 640.00,€ 7 040.00
31/03/2026,CMP-1001,PLT-1000,Reserved,5,€ 640.00,€ 3 200.00
31/03/2026,CMP-1001,PLT-1000,In Transit,8,€ 640.00,€ 5 120.00
31/03/2026,CMP-1001,PLT-2000,Unrestricted,30,€ 640.00,€ 19 200.00
31/03/2026,CMP-1001,PLT-2000,Reserved,3,€ 640.00,€ 1 920.00
31/03/2026,CMP-1001,PLT-2000,In Transit,1,€ 640.00,€ 640.00
31/03/2026,CMP-1002,PLT-1000,Unrestricted,15,€ 82.00,€ 1 230.00
31/03/2026,CMP-1002,PLT-1000,Quality Inspection,12,€ 82.00,€ 984.00
31/03/2026,CMP-1002,PLT-1000,Blocked,4,€ 82.00,€ 328.00
31/03/2026,CMP-1002,PLT-1000,Reserved,6,€ 82.00,€ 492.00
31/03/2026,CMP-1002,PLT-1000,In Transit,2,€ 82.00,€ 164.00
31/03/2026,CMP-1002,PLT-2000,Unrestricted,34,€ 82.00,€ 2 788.00
31/03/2026,CMP-1002,PLT-2000,Reserved,4,€ 82.00,€ 328.00
31/03/2026,CMP-1002,PLT-2000,In Transit,8,€ 82.00,€ 656.00
31/03/2026,CMP-1003,PLT-1000,Unrestricted,44,€ 46.00,€ 2 024.00
31/03/2026,CMP-1003,PLT-1000,Reserved,6,€ 46.00,€ 276.00
31/03/2026,CMP-1003,PLT-1000,In Transit,3,€ 46.00,€ 138.00
31/03/2026,CMP-1003,PLT-2000,Unrestricted,24,€ 46.00,€ 1 104.00
31/03/2026,CMP-1003,PLT-2000,Reserved,4,€ 46.00,€ 184.00
31/03/2026,CMP-1003,PLT-2000,In Transit,6,€ 46.00,€ 276.00
31/03/2026,CMP-1004,PLT-1000,Unrestricted,2,€ 420.00,€ 840.00
31/03/2026,CMP-1004,PLT-1000,Reserved,2,€ 420.00,€ 840.00
31/03/2026,CMP-1004,PLT-1000,In Transit,10,€ 420.00,€ 4 200.00
31/03/2026,CMP-1004,PLT-2000,Unrestricted,43,€ 420.00,€ 18 060.00
31/03/2026,CMP-1004,PLT-2000,Reserved,6,€ 420.00,€ 2 520.00
31/03/2026,CMP-1005,PLT-1000,Unrestricted,13,€ 175.00,€ 2 275.00
31/03/2026,CMP-1005,PLT-1000,Reserved,5,€ 175.00,€ 875.00
31/03/2026,CMP-1005,PLT-1000,In Transit,7,€ 175.00,€ 1 225.00
31/03/2026,CMP-1005,PLT-2000,Unrestricted,28,€ 175.00,€ 4 900.00
31/03/2026,CMP-1005,PLT-2000,Reserved,4,€ 175.00,€ 700.00
31/03/2026,CMP-1005,PLT-2000,In Transit,5,€ 175.00,€ 875.00
31/03/2026,CMP-1006,PLT-1000,Unrestricted,40,€ 220.00,€ 8 800.00
31/03/2026,CMP-1006,PLT-1000,Reserved,6,€ 220.00,€ 1 320.00
31/03/2026,CMP-1006,PLT-1000,In Transit,5,€ 220.00,€ 1 100.00
31/03/2026,CMP-1006,PLT-2000,Unrestricted,17,€ 220.00,€ 3 740.00
31/03/2026,CMP-1006,PLT-2000,Reserved,4,€ 220.00,€ 880.00
31/03/2026,CMP-1006,PLT-2000,In Transit,1,€ 220.00,€ 220.00
31/03/2026,CMP-1007,PLT-1000,Unrestricted,26,€ 135.00,€ 3 510.00
31/03/2026,CMP-1007,PLT-1000,Reserved,8,€ 135.00,€ 1 080.00
31/03/2026,CMP-1007,PLT-1000,In Transit,3,€ 135.00,€ 405.00
31/03/2026,CMP-1007,PLT-2000,Unrestricted,33,€ 135.00,€ 4 455.00
31/03/2026,CMP-1007,PLT-2000,Reserved,4,€ 135.00,€ 540.00
31/03/2026,CMP-1007,PLT-2000,In Transit,7,€ 135.00,€ 945.00
31/03/2026,CMP-1008,PLT-1000,Unrestricted,12,€ 160.00,€ 1 920.00
31/03/2026,CMP-1008,PLT-1000,Reserved,8,€ 160.00,€ 1 280.00
31/03/2026,CMP-1008,PLT-1000,In Transit,5,€ 160.00,€ 800.00
31/03/2026,CMP-1008,PLT-2000,Unrestricted,17,€ 160.00,€ 2 720.00
31/03/2026,CMP-1008,PLT-2000,Reserved,2,€ 160.00,€ 320.00
31/03/2026,CMP-1008,PLT-2000,In Transit,6,€ 160.00,€ 960.00
31/03/2026,CMP-1009,PLT-1000,Unrestricted,24,€ 95.00,€ 2 280.00
31/03/2026,CMP-1009,PLT-1000,Reserved,8,€ 95.00,€ 760.00
31/03/2026,CMP-1009,PLT-1000,In Transit,2,€ 95.00,€ 190.00
31/03/2026,CMP-1009,PLT-2000,Unrestricted,39,€ 95.00,€ 3 705.00
31/03/2026,CMP-1009,PLT-2000,Reserved,6,€ 95.00,€ 570.00
31/03/2026,CMP-1009,PLT-2000,In Transit,1,€ 95.00,€ 95.00
31/03/2026,CMP-1010,PLT-1000,Unrestricted,260,€ 18.00,€ 4 680.00
31/03/2026,CMP-1010,PLT-1000,Reserved,8,€ 18.00,€ 144.00
31/03/2026,CMP-1010,PLT-1000,In Transit,6,€ 18.00,€ 108.00
31/03/2026,CMP-1010,PLT-2000,Unrestricted,17,€ 18.00,€ 306.00
31/03/2026,CMP-1010,PLT-2000,Reserved,3,€ 18.00,€ 54.00
31/03/2026,CMP-1010,PLT-2000,In Transit,2,€ 18.00,€ 36.00
31/03/2026,CMP-1011,PLT-1000,Unrestricted,20,€ 145.00,€ 2 900.00
31/03/2026,CMP-1011,PLT-1000,Reserved,1,€ 145.00,€ 145.00
31/03/2026,CMP-1011,PLT-1000,In Transit,2,€ 145.00,€ 290.00
31/03/2026,CMP-1011,PLT-2000,Unrestricted,41,€ 145.00,€ 5 945.00
31/03/2026,CMP-1011,PLT-2000,Reserved,3,€ 145.00,€ 435.00
31/03/2026,CMP-1011,PLT-2000,In Transit,7,€ 145.00,€ 1 015.00
31/03/2026,CMP-1012,PLT-1000,Unrestricted,34,€ 310.00,€ 10 540.00
31/03/2026,CMP-1012,PLT-1000,Reserved,3,€ 310.00,€ 930.00
31/03/2026,CMP-1012,PLT-1000,In Transit,8,€ 310.00,€ 2 480.00
31/03/2026,CMP-1012,PLT-2000,Unrestricted,20,€ 310.00,€ 6 200.00
31/03/2026,CMP-1012,PLT-2000,Reserved,1,€ 310.00,€ 310.00
31/03/2026,CMP-1013,PLT-1000,Unrestricted,18,€ 28.00,€ 504.00
31/03/2026,CMP-1013,PLT-1000,Reserved,3,€ 28.00,€ 84.00
31/03/2026,CMP-1013,PLT-1000,In Transit,6,€ 28.00,€ 168.00
31/03/2026,CMP-1013,PLT-2000,Unrestricted,24,€ 28.00,€ 672.00
31/03/2026,CMP-1013,PLT-2000,Reserved,4,€ 28.00,€ 112.00
31/03/2026,CMP-1014,PLT-1000,Unrestricted,28,€ 290.00,€ 8 120.00
31/03/2026,CMP-1014,PLT-1000,Reserved,4,€ 290.00,€ 1 160.00
31/03/2026,CMP-1014,PLT-1000,In Transit,4,€ 290.00,€ 1 160.00
31/03/2026,CMP-1014,PLT-2000,Unrestricted,44,€ 290.00,€ 12 760.00
31/03/2026,CMP-1014,PLT-2000,Reserved,4,€ 290.00,€ 1 160.00
31/03/2026,CMP-1014,PLT-2000,In Transit,5,€ 290.00,€ 1 450.00
31/03/2026,CMP-1015,PLT-1000,Unrestricted,610,€ 4.50,€ 2 745.00
31/03/2026,CMP-1015,PLT-1000,Reserved,7,€ 4.50,€ 31.50
31/03/2026,CMP-1015,PLT-1000,In Transit,2,€ 4.50,€ 9.00
31/03/2026,CMP-1015,PLT-2000,Unrestricted,15,€ 4.50,€ 67.50
31/03/2026,CMP-1015,PLT-2000,Reserved,6,€ 4.50,€ 27.00
31/03/2026,CMP-1015,PLT-2000,In Transit,7,€ 4.50,€ 31.50
